posting_title,price,rooms,sqm,toilets,floor,link,location,tipologie,city
"Bilocale piazza Riccardo Balsamo Crivelli, Casal Bruciato, Roma",199000.0,2,55.0,1,2,https://www.immobiliare.it/annunci/101614147/,Casal Bruciato,na,Roma
"Trilocale via Francesco Grimaldi 122, Marconi, Roma",285000.0,3,106.0,1,3,https://www.immobiliare.it/annunci/101106385/,Marconi,na,Roma
"Trilocale via di Vigna Murata, Cecchignola - Giuliano Dalmata, Roma",430000.0,3,89.0,2,3,https://www.immobiliare.it/annunci/100814569/,Cecchignola - Giuliano Dalmata,na,Roma
"Quadrilocale via Tommaso Vallauri, Colli Portuensi - Casaletto, Roma",480000.0,4,145.0,2,4,https://www.immobiliare.it/annunci/100452066/,Colli Portuensi - Casaletto,na,Roma
"Trilocale via Dobbiaco, Infernetto, Roma",189000.0,3,78.0,1,3,https://www.immobiliare.it/annunci/99831264/,Infernetto,na,Roma
Palazzo - Edificio in Vendita,8200000.0,5+,850.0,3+,5+,https://www.immobiliare.it/annunci/88981719/,Spagna,na,Roma
"Quadrilocale via Vincenzo Bellini, Pinciano - Villa Ada, Roma",999000.0,4,150.0,3,4,https://www.immobiliare.it/annunci/102985504/,Pinciano - Villa Ada,na,Roma
"Villa a schiera via Novaledo, Infernetto, Roma",349000.0,5+,190.0,2,5+,https://www.immobiliare.it/annunci/102568232/,Infernetto,na,Roma
"Appartamento via Guglielmo Mengarini 88, Portuense, Roma",790000.0,5+,170.0,3,5+,https://www.immobiliare.it/annunci/102330562/,Portuense,na,Roma
"Appartamento via di Villa Torlonia, Bologna, Roma",1150000.0,5+,205.0,2,5+,https://www.immobiliare.it/annunci/100067430/,Bologna,na,Roma
"Attico via Ferdinando Acton, Ostia Levante, Roma",448000.0,4,122.0,2,4,https://www.immobiliare.it/annunci/102929110/,Ostia Levante,na,Roma
"Appartamento piazza Regina Margherita, Trieste - Coppedè, Roma",1150000.0,5,193.0,2,5,https://www.immobiliare.it/annunci/102053762/,Trieste - Coppedè,na,Roma
"Appartamento Lungotevere Grande Ammiraglio Thaon di Revel 84, Flaminio, Roma",785000.0,5,150.0,2,5,https://www.immobiliare.it/annunci/97074586/,Flaminio,na,Roma
"Villa unifamiliare via di Bravetta, Pisana - Bravetta, Roma",675000.0,5,230.0,3+,5,https://www.immobiliare.it/annunci/93330472/,Pisana - Bravetta,na,Roma
"Appartamento via Francesco Denza, Euclide, Roma",1570000.0,5+,250.0,3,5+,https://www.immobiliare.it/annunci/73675522/,Euclide,na,Roma
"Trilocale via di Acilia 221, Acilia, Roma",225000.0,3,87.0,1,3,https://www.immobiliare.it/annunci/104024983/,Acilia,na,Roma
"Trilocale via Francesco Catel, Monteverde Nuovo, Roma",475000.0,3,85.0,2,3,https://www.immobiliare.it/annunci/103944157/,Monteverde Nuovo,na,Roma
"Villa unifamiliare via Arzana, Ponte Galeria, Roma",570000.0,5,216.0,3,5,https://www.immobiliare.it/annunci/102645376/,Ponte Galeria,na,Roma
"Trilocale via Boncompagni, Sallustiano, Roma",800000.0,3,105.0,2,3,https://www.immobiliare.it/annunci/85484146/,Sallustiano,na,Roma
"Bilocale viale Opita Oppio 22, Quadraro, Roma",195000.0,2,54.0,1,2,https://www.immobiliare.it/annunci/103501674/,Quadraro,na,Roma
"Trilocale via Enrico Stevenson, Bologna, Roma",425000.0,3,90.0,1,3,https://www.immobiliare.it/annunci/103275306/,Bologna,na,Roma
